ax;ay;az;d_row;d_pitch;d_yaw
1.95383;0.11956;9.94727;1.18125;-134.39999;14.21875
1.99104;0.13420;9.95581;1.70625;-133.26250;14.65625
2.03252;0.12200;9.91128;0.83125;-131.51250;13.60625
2.07156;0.12139;9.95764;0.61250;-129.98125;14.78750
2.05448;0.10614;9.96252;1.31250;-129.63126;14.65625
2.08132;0.12383;9.89542;0.74375;-127.79375;14.26250
2.10755;0.13359;9.87346;1.48750;-126.35000;13.95625
2.16611;0.16043;9.87102;1.53125;-124.99375;14.74375
2.17770;0.12627;9.86858;1.09375;-122.10625;15.13750
2.21308;0.13359;9.84845;1.44375;-119.52500;13.38750
2.24053;0.15799;9.85394;1.31250;-117.46875;15.18125
2.22711;0.08113;9.87102;1.05000;-113.75000;13.65000
2.25944;0.14884;9.84784;1.00625;-111.03750;14.00000
2.29299;0.12322;9.85943;-0.08750;-108.19375;14.83125
2.33508;0.14884;9.85821;0.26250;-105.26250;13.69375
2.33142;0.12139;9.85333;0.30625;-102.68125;14.78750
2.35826;0.14640;9.83869;0.78750;-100.66875;13.21250
2.38754;0.14213;9.84052;0.52500;-99.09375;14.56875
2.41133;0.15128;9.82710;0.48125;-95.81250;14.48125
2.41621;0.11834;9.84052;0.35000;-94.23750;13.34375
2.47233;0.15433;9.80026;0.35000;-92.22500;13.73750
2.45525;0.10675;9.81856;0.13125;-89.07500;13.34375
2.48941;0.14396;9.80880;0.48125;-87.28125;13.30000
2.51564;0.13603;9.80941;0.26250;-85.00625;14.87500
2.53577;0.14823;9.79782;0.26250;-82.95000;13.91250
2.56017;0.14030;9.80392;-0.65625;-80.54375;13.47500
2.55956;0.14823;9.80697;0.17500;-77.96250;14.17500
2.54187;0.13054;9.78806;0.21875;-75.99375;13.95625
2.61568;0.15799;9.76976;0.48125;-74.33125;13.16875
2.63337;0.16775;9.76732;-0.08750;-72.18750;13.69375
2.62422;0.11529;9.77281;0.04375;-69.73750;13.69375
2.63947;0.16409;9.76793;-0.56875;-68.20625;13.86875
2.66326;0.13847;9.77403;-0.08750;-64.35625;13.78125
2.64130;0.14762;9.74597;-0.26250;-62.21250;12.95000
2.71877;0.15799;9.75207;-0.04375;-60.68125;12.73125
2.72060;0.16653;9.75878;0.30625;-58.40625;13.56250
